4,3805;01/04/2022
4,3771;31/03/2022
4,3698;30/03/2022
4,3693;29/03/2022
4,3642;28/03/2022
4,3419;25/03/2022
4,3269;24/03/2022
4,3091;23/03/2022
4,298;22/03/2022
4,3088;21/03/2022
4,295;18/03/2022
4,2904;17/03/2022
4,2697;16/03/2022
4,2423;15/03/2022
4,2233;14/03/2022
4,3304;11/03/2022
4,3277;10/03/2022
4,332;09/03/2022
4,3302;08/03/2022
4,3266;07/03/2022
4,3684;04/03/2022
4,3677;03/03/2022
4,3859;02/03/2022
4,3805;25/02/2022
4,3879;24/02/2022
4,3427;23/02/2022
4,4078;22/02/2022
4,4208;21/02/2022
4,4032;18/02/2022
4,4369;17/02/2022
4,4412;16/02/2022
4,441;15/02/2022
4,4637;14/02/2022
4,4652;11/02/2022
4,4907;10/02/2022
4,4942;09/02/2022
4,5068;08/02/2022
4,5219;07/02/2022
4,5263;04/02/2022
4,5248;03/02/2022
4,5275;02/02/2022
4,5376;01/02/2022
4,5492;31/01/2022
4,5756;28/01/2022
4,5837;27/01/2022
4,5911;26/01/2022
4,588;25/01/2022
4,607;24/01/2022
4,6155;21/01/2022
4,6365;20/01/2022
4,6294;19/01/2022
4,6316;18/01/2022
4,6359;14/01/2022
4,638;13/01/2022
4,6443;12/01/2022
4,6365;11/01/2022
4,6221;07/01/2022
4,6001;06/01/2022
4,6039;05/01/2022
4,5877;04/01/2022
5,5369;01/07/2022
5,5346;30/06/2022
5,5131;29/06/2022
5,4784;28/06/2022
5,5077;27/06/2022
5,4701;23/06/2022
5,4572;22/06/2022
5,4663;21/06/2022
5,4209;17/06/2022
5,3642;16/06/2022
5,311;15/06/2022
5,3106;14/06/2022
5,2534;10/06/2022
5,198;09/06/2022
5,1611;08/06/2022
5,1539;07/06/2022
5,1513;06/06/2022
5,1208;03/06/2022
5,0906;02/06/2022
5,0649;01/06/2022
5,0668;31/05/2022
5,0277;27/05/2022
5,0128;26/05/2022
4,9585;25/05/2022
4,9368;24/05/2022
4,9453;23/05/2022
4,8952;20/05/2022
4,8317;19/05/2022
4,8048;18/05/2022
4,7848;17/05/2022
4,7705;16/05/2022
4,718;13/05/2022
4,6432;12/05/2022
4,6068;11/05/2022
4,5842;10/05/2022
4,5763;09/05/2022
4,5605;06/05/2022
4,5473;05/05/2022
4,5227;04/05/2022
4,5071;03/05/2022
4,4965;02/05/2022
4,4867;29/04/2022
4,4664;28/04/2022
4,449;27/04/2022
4,4389;26/04/2022
4,4375;25/04/2022
4,4378;22/04/2022
4,4449;21/04/2022
4,4442;20/04/2022
4,4374;18/04/2022
4,4349;13/04/2022
4,4248;12/04/2022
4,4222;11/04/2022
4,4189;08/04/2022
4,4124;07/04/2022
4,4188;06/04/2022
4,4125;05/04/2022
4,4082;04/04/2022
8,2036;03/10/2022
8,1837;30/09/2022
8,1475;29/09/2022
8,1419;28/09/2022
8,1018;27/09/2022
8,118;26/09/2022
8,114;23/09/2022
8,0959;22/09/2022
8,0496;21/09/2022
8,0275;20/09/2022
8,0508;19/09/2022
8,0277;16/09/2022
8,0294;15/09/2022
8,004;14/09/2022
7,9763;13/09/2022
7,9835;12/09/2022
8,0029;09/09/2022
7,9879;08/09/2022
7,9816;07/09/2022
7,9447;06/09/2022
7,9644;05/09/2022
7,9078;02/09/2022
7,8922;01/09/2022
7,8553;31/08/2022
7,8217;30/08/2022
7,8507;29/08/2022
7,836;26/08/2022
7,0147;25/08/2022
6,2817;24/08/2022
6,2416;23/08/2022
6,1801;22/08/2022
6,0942;19/08/2022
5,976;18/08/2022
5,97;17/08/2022
5,9783;16/08/2022
5,9481;12/08/2022
5,9249;11/08/2022
5,897;10/08/2022
5,8518;09/08/2022
5,8662;08/08/2022
5,8407;05/08/2022
5,7908;04/08/2022
5,7973;03/08/2022
5,7769;02/08/2022
5,7934;01/08/2022
5,7836;29/07/2022
5,7712;28/07/2022
5,7456;27/07/2022
5,721;26/07/2022
5,7327;25/07/2022
5,7311;22/07/2022
5,7285;21/07/2022
5,7012;20/07/2022
5,6803;19/07/2022
5,699;18/07/2022
5,6777;15/07/2022
5,657;14/07/2022
5,6194;13/07/2022
5,5999;12/07/2022
5,6122;11/07/2022
5,5746;08/07/2022
5,55;07/07/2022
5,5552;06/07/2022
17,489;02/01/2023
17,2787;30/12/2022
17,1172;29/12/2022
16,8028;28/12/2022
16,5666;27/12/2022
16,5663;26/12/2022
16,4523;23/12/2022
16,1777;22/12/2022
16,0418;21/12/2022
16,0006;20/12/2022
15,7668;19/12/2022
15,5716;16/12/2022
15,2354;15/12/2022
14,7646;14/12/2022
14,1251;13/12/2022
13,5966;09/12/2022
12,6615;08/12/2022
11,8608;07/12/2022
11,539;06/12/2022
11,6918;05/12/2022
11,2548;02/12/2022
11,0789;01/12/2022
10,9545;30/11/2022
10,8062;29/11/2022
10,7256;28/11/2022
10,4094;25/11/2022
10,2346;24/11/2022
9,9887;23/11/2022
9,9787;22/11/2022
9,7945;18/11/2022
9,5615;17/11/2022
9,4293;16/11/2022
9,3133;15/11/2022
9,293;14/11/2022
9,0197;11/11/2022
8,9308;10/11/2022
8,8292;09/11/2022
8,7311;08/11/2022
8,7752;07/11/2022
8,6636;04/11/2022
8,6461;03/11/2022
8,5744;02/11/2022
8,5918;01/11/2022
8,5254;28/10/2022
8,4508;27/10/2022
8,4096;26/10/2022
8,4076;25/10/2022
8,393;21/10/2022
8,372;20/10/2022
8,3788;19/10/2022
8,2838;18/10/2022
8,3078;17/10/2022
8,267;14/10/2022
8,2681;13/10/2022
8,2113;11/10/2022
8,2346;10/10/2022
8,2102;07/10/2022
8,2087;06/10/2022
8,1923;05/10/2022
8,1714;04/10/2022
24,5256;03/04/2023
24,4968;31/03/2023
24,4874;30/03/2023
24,4151;29/03/2023
24,3917;28/03/2023
24,4016;27/03/2023
24,3093;24/03/2023
24,2039;23/03/2023
24,2415;22/03/2023
24,2197;21/03/2023
24,2034;20/03/2023
24,1258;17/03/2023
24,0677;16/03/2023
24,0003;15/03/2023
24,1182;14/03/2023
24,1459;13/03/2023
24,135;10/03/2023
24,1694;09/03/2023
24,1557;08/03/2023
24,274;07/03/2023
24,3168;06/03/2023
24,357;03/03/2023
24,3571;02/03/2023
24,3609;01/03/2023
24,3635;28/02/2023
24,4163;27/02/2023
24,3708;24/02/2023
24,3914;23/02/2023
24,4014;22/02/2023
24,3874;17/02/2023
24,3652;16/02/2023
24,3431;15/02/2023
24,2531;14/02/2023
24,2;13/02/2023
24,1985;10/02/2023
23,8095;09/02/2023
23,6127;08/02/2023
23,1487;07/02/2023
22,9062;06/02/2023
22,6808;03/02/2023
22,4381;02/02/2023
22,3737;01/02/2023
21,9512;31/01/2023
21,9689;30/01/2023
21,7271;27/01/2023
21,3189;26/01/2023
21,1744;25/01/2023
20,734;24/01/2023
20,5272;23/01/2023
20,2948;20/01/2023
19,9845;19/01/2023
19,9725;18/01/2023
19,6638;17/01/2023
19,452;16/01/2023
19,2784;13/01/2023
19,0531;12/01/2023
18,8092;11/01/2023
18,6138;10/01/2023
18,3946;06/01/2023
17,9442;05/01/2023
17,8643;04/01/2023
17,5591;03/01/2023
28,0162;04/07/2023
27,8546;30/06/2023
27,8374;29/06/2023
27,7156;28/06/2023
27,6169;27/06/2023
27,6096;26/06/2023
27,542;23/06/2023
27,3;22/06/2023
27,2543;21/06/2023
27,278;20/06/2023
27,1737;16/06/2023
27,1053;15/06/2023
27,018;14/06/2023
27,021;13/06/2023
26,8571;09/06/2023
26,7038;08/06/2023
26,6329;07/06/2023
26,4625;06/06/2023
26,5963;05/06/2023
26,4672;02/06/2023
26,267;01/06/2023
26,1639;31/05/2023
26,2548;30/05/2023
26,2714;29/05/2023
26,1295;26/05/2023
26,037;25/05/2023
26,0015;24/05/2023
26,0055;23/05/2023
25,9029;19/05/2023
25,8122;18/05/2023
25,6479;17/05/2023
25,4891;16/05/2023
25,435;15/05/2023
25,3484;12/05/2023
25,1791;11/05/2023
25,1236;10/05/2023
25,0395;09/05/2023
25,0577;08/05/2023
25,0299;05/05/2023
24,8725;04/05/2023
24,8156;03/05/2023
24,7503;02/05/2023
24,7304;28/04/2023
24,632;27/04/2023
24,6533;26/04/2023
24,6147;25/04/2023
24,6484;24/04/2023
24,5766;21/04/2023
24,5633;20/04/2023
24,5612;18/04/2023
24,5739;17/04/2023
24,5419;14/04/2023
24,4879;13/04/2023
24,4734;12/04/2023
24,3921;11/04/2023
24,4879;10/04/2023
24,4414;05/04/2023
24,4897;04/04/2023
34,6685;04/10/2023
34,4681;03/10/2023
35,9593;02/01/2024
35,9305;29/12/2023
35,8348;28/12/2023
35,7827;27/12/2023
35,8134;26/12/2023
35,7874;22/12/2023
35,732;21/12/2023
35,7156;20/12/2023
35,654;19/12/2023
35,7247;18/12/2023
35,6403;15/12/2023
35,6262;14/12/2023
35,5724;13/12/2023
35,6248;12/12/2023
35,6018;08/12/2023
35,5974;07/12/2023
35,5578;06/12/2023
35,5228;05/12/2023
35,5806;04/12/2023
35,5131;01/12/2023
35,4939;30/11/2023
35,4784;29/11/2023
35,4708;28/11/2023
35,5021;27/11/2023
35,4854;24/11/2023
35,3916;23/11/2023
35,4186;22/11/2023
35,4511;21/11/2023
35,478;20/11/2023
35,4298;17/11/2023
35,4108;16/11/2023
35,3819;15/11/2023
35,3148;14/11/2023
35,3706;13/11/2023
35,3342;10/11/2023
35,2458;09/11/2023
35,1541;08/11/2023
35,236;07/11/2023
35,1724;03/11/2023
35,1535;02/11/2023
35,0653;01/11/2023
35,1276;31/10/2023
35,0919;27/10/2023
35,0222;26/10/2023
35,0278;25/10/2023
34,976;24/10/2023
34,9779;23/10/2023
34,8584;20/10/2023
34,8602;19/10/2023
34,8126;18/10/2023
34,8508;17/10/2023
34,8776;16/10/2023
34,9001;13/10/2023
34,8416;11/10/2023
34,8199;10/10/2023
34,8565;09/10/2023
34,7499;06/10/2023
34,7133;05/10/2023
34,6685;04/10/2023
34,4681;03/10/2023
36,2896;01/04/2024
36,334;27/03/2024
36,3006;26/03/2024
36,3555;25/03/2024
36,3217;22/03/2024
36,2861;21/03/2024
36,2653;20/03/2024
36,3167;18/03/2024
36,276;15/03/2024
36,2633;14/03/2024
36,2368;13/03/2024
36,2005;12/03/2024
36,1903;11/03/2024
36,1331;08/03/2024
36,1726;07/03/2024
36,1318;06/03/2024
36,0933;05/03/2024
36,0801;04/03/2024
36,1518;01/03/2024
36,1304;29/02/2024
36,0955;28/02/2024
36,0706;27/02/2024
36,0698;26/02/2024
36,2329;23/02/2024
36,2315;22/02/2024
36,2951;21/02/2024
36,2375;20/02/2024
36,3358;19/02/2024
36,2737;16/02/2024
36,2609;15/02/2024
